job,day,month,duration,campaign,pdays,previous,Outcome
management,20,jun,111,3,-1,0,no
blue-collar,8,may,55,2,298,4,no
blue-collar,9,jul,290,13,-1,0,no
entrepreneur,6,jun,383,1,-1,0,no
technician,18,may,380,1,-1,0,no
management,2,feb,124,3,-1,0,no
services,8,may,224,2,-1,0,no
technician,29,jan,240,1,182,8,no
management,15,may,385,3,364,9,no
management,6,may,133,1,-1,0,no
student,11,aug,91,1,-1,0,no
technician,7,may,63,3,-1,0,no
management,18,nov,192,2,-1,0,no
self-employed,21,may,91,2,-1,0,no
blue-collar,18,nov,79,1,172,8,no
management,28,oct,96,1,-1,0,yes
admin.,20,apr,25,2,-1,0,no
admin.,7,may,227,2,-1,0,no
services,5,feb,110,1,-1,0,no
technician,7,aug,134,2,-1,0,no
technician,20,oct,213,1,-1,0,yes
technician,4,feb,75,1,273,1,no
services,8,aug,109,2,-1,0,no
management,20,aug,162,3,-1,0,no
management,5,jun,275,1,-1,0,yes
services,22,jun,154,1,124,1,no
retired,14,aug,632,4,-1,0,yes
management,15,apr,251,1,-1,0,no
management,8,jul,141,1,-1,0,no
technician,3,apr,154,1,-1,0,no
blue-collar,7,may,63,1,-1,0,no
entrepreneur,8,jul,259,1,-1,0,no
blue-collar,9,may,100,1,-1,0,no
admin.,15,may,17,10,-1,0,no
admin.,21,nov,192,9,-1,0,no
blue-collar,19,may,97,9,-1,0,no
technician,25,aug,41,2,-1,0,no
blue-collar,2,jun,200,3,-1,0,no
admin.,20,nov,91,3,-1,0,no
management,1,jun,264,1,-1,0,yes
admin.,21,nov,397,2,-1,0,no
blue-collar,21,may,86,1,-1,0,no
entrepreneur,5,feb,446,1,-1,0,no
admin.,9,apr,304,1,-1,0,no
blue-collar,30,jun,88,4,-1,0,no
management,20,apr,86,2,-1,0,no
technician,13,may,63,1,-1,0,no
services,5,may,335,2,281,8,no
management,29,jan,293,2,162,4,no
management,13,may,227,4,-1,0,no
admin.,5,may,146,2,-1,0,no
admin.,14,jul,276,3,-1,0,no
management,15,apr,238,3,323,2,no
blue-collar,31,jul,14,6,-1,0,no
technician,19,may,144,2,-1,0,no
management,8,jul,367,1,-1,0,no
unemployed,16,jul,132,1,-1,0,no
blue-collar,27,may,42,4,-1,0,no
management,5,jun,227,1,-1,0,no
technician,18,may,40,8,349,6,no
technician,7,may,614,2,-1,0,no
blue-collar,15,may,270,1,-1,0,no
unknown,4,sep,15,1,-1,0,no
blue-collar,23,may,304,2,-1,0,no
blue-collar,11,may,79,3,-1,0,no
management,3,jun,101,1,-1,0,no
blue-collar,5,may,55,3,-1,0,no
blue-collar,19,may,205,3,-1,0,no
student,18,may,259,2,-1,0,no
management,13,aug,60,2,-1,0,no
blue-collar,20,apr,122,2,-1,0,no
technician,14,jul,557,5,-1,0,no
blue-collar,11,may,42,1,-1,0,no
management,28,aug,373,8,-1,0,no
management,14,jul,80,3,-1,0,no
student,7,may,239,3,-1,0,no
management,8,jun,29,1,-1,0,no
blue-collar,20,jun,1663,1,-1,0,yes
management,20,may,186,4,-1,0,no
services,6,jun,430,1,-1,0,no
management,24,mar,58,2,-1,0,no
student,25,aug,279,1,117,1,no
services,28,jul,332,2,-1,0,no
management,5,aug,510,2,2,5,no
blue-collar,16,apr,218,1,330,2,no
management,17,apr,74,2,256,1,no
housemaid,8,oct,676,1,-1,0,no
management,15,may,1259,2,333,18,no
technician,21,nov,285,3,116,4,no
technician,8,may,298,1,-1,0,no
blue-collar,30,jul,225,4,-1,0,no
technician,13,may,80,2,268,2,no
management,14,apr,342,1,-1,0,yes
blue-collar,28,jul,404,3,-1,0,no
services,7,jul,332,1,-1,0,no
admin.,30,jan,158,1,-1,0,no
management,14,may,164,1,-1,0,no
technician,4,feb,57,1,247,1,no
blue-collar,12,may,121,1,-1,0,no
technician,7,may,56,1,-1,0,no
services,3,jul,178,1,-1,0,no
blue-collar,29,jan,283,1,-1,0,no
services,7,may,113,1,337,2,no
management,20,nov,22,5,-1,0,no
management,2,feb,159,2,271,1,no
self-employed,15,oct,138,1,136,8,no
management,19,nov,1015,1,198,2,yes
technician,2,feb,182,1,-1,0,no
entrepreneur,4,feb,112,3,-1,0,no
technician,10,jul,114,1,-1,0,no
blue-collar,29,jul,80,8,-1,0,no
unemployed,30,jan,66,1,241,1,no
management,26,aug,135,22,-1,0,no
management,7,sep,99,1,-1,0,no
blue-collar,5,jun,761,2,-1,0,yes
retired,24,jul,464,1,-1,0,no
admin.,20,jun,20,2,-1,0,no
unemployed,29,jul,206,4,-1,0,no
services,8,jul,283,2,-1,0,no
housemaid,20,jun,64,1,-1,0,no
services,15,may,667,3,357,3,yes
technician,4,feb,73,3,-1,0,no
entrepreneur,20,may,156,2,-1,0,no
technician,3,jun,559,7,-1,0,no
technician,20,aug,143,2,-1,0,no
services,15,may,62,1,-1,0,no
management,29,jan,219,2,259,5,no
services,15,may,15,3,-1,0,no
technician,16,apr,567,1,-1,0,no
technician,29,jul,188,2,-1,0,no
retired,11,jul,159,2,-1,0,no
blue-collar,31,jul,121,2,-1,0,no
housemaid,28,jun,345,1,94,3,yes
management,20,may,717,1,-1,0,no
blue-collar,18,aug,71,3,-1,0,no
management,18,nov,144,2,-1,0,no
technician,22,jul,38,1,-1,0,no
management,28,aug,60,2,-1,0,no
management,17,sep,336,2,183,2,yes
technician,27,jun,92,4,-1,0,no
blue-collar,11,may,254,2,353,1,no
technician,14,oct,104,1,85,19,no
entrepreneur,20,apr,74,5,-1,0,no
blue-collar,19,aug,156,2,-1,0,no
management,29,jan,146,2,-1,0,no
admin.,19,may,882,1,-1,0,yes
self-employed,27,may,84,4,-1,0,no
management,19,may,114,2,-1,0,no
blue-collar,2,jul,957,3,-1,0,no
retired,11,jun,67,3,-1,0,no
blue-collar,9,jul,211,11,-1,0,no
technician,19,aug,299,2,-1,0,no
technician,11,may,102,6,349,1,no
technician,5,may,225,1,-1,0,no
housemaid,21,apr,654,2,-1,0,yes
technician,14,may,234,2,-1,0,no
technician,24,jul,48,6,-1,0,no
management,13,may,167,1,174,7,no
admin.,26,may,500,2,-1,0,no
entrepreneur,7,aug,22,2,-1,0,no
management,19,nov,258,2,-1,0,no
self-employed,19,nov,177,1,-1,0,no
technician,28,may,62,2,-1,0,no
admin.,30,apr,457,1,80,1,yes
technician,17,apr,460,2,345,2,no
housemaid,22,jul,184,4,-1,0,no
entrepreneur,13,may,119,3,371,3,no
management,5,mar,77,6,-1,0,no
technician,23,jul,107,1,-1,0,no
technician,9,may,1028,2,-1,0,yes
blue-collar,14,may,87,1,-1,0,no
blue-collar,9,may,315,4,-1,0,no
management,19,nov,107,2,-1,0,no
blue-collar,16,jul,201,5,-1,0,no
management,29,jan,94,1,205,2,no
student,12,nov,192,2,92,2,yes
management,29,jan,185,2,246,1,no
technician,17,nov,77,1,-1,0,no
blue-collar,6,may,142,3,-1,0,no
technician,2,feb,381,1,-1,0,no
blue-collar,17,nov,222,2,-1,0,no
blue-collar,17,apr,106,1,-1,0,no
blue-collar,29,may,117,1,-1,0,no
technician,7,aug,67,3,-1,0,no
technician,6,may,45,2,169,2,no
technician,14,jul,643,2,-1,0,no
admin.,15,oct,76,1,69,2,no
management,21,aug,508,6,-1,0,no
services,5,jul,128,2,-1,0,yes
blue-collar,17,apr,193,2,322,1,no
management,16,jun,172,6,-1,0,no
services,2,feb,142,2,-1,0,no
entrepreneur,27,may,492,2,-1,0,no
blue-collar,12,jun,140,1,-1,0,no
retired,18,jun,140,2,-1,0,no
technician,19,may,257,2,-1,0,no
management,29,jan,41,2,266,2,no
technician,21,aug,91,2,-1,0,no
management,20,apr,132,2,-1,0,no
blue-collar,3,jun,284,1,-1,0,no
self-employed,25,jul,184,2,-1,0,no
admin.,18,jul,225,1,-1,0,no
blue-collar,12,may,241,3,-1,0,no
technician,20,aug,79,3,-1,0,no
management,22,apr,156,1,-1,0,no
blue-collar,27,oct,223,2,-1,0,no
blue-collar,30,may,198,1,-1,0,no
housemaid,13,aug,536,2,-1,0,no
blue-collar,21,may,304,2,-1,0,no
admin.,20,apr,196,2,315,2,no
technician,12,may,298,2,-1,0,no
retired,21,may,86,6,-1,0,no
admin.,8,may,186,1,-1,0,no
blue-collar,22,jul,167,3,-1,0,no
admin.,22,jul,24,12,-1,0,no
management,18,aug,74,3,-1,0,no
blue-collar,11,jun,601,1,-1,0,no
management,27,may,1168,2,-1,0,no
blue-collar,20,apr,277,2,-1,0,no
entrepreneur,6,feb,748,3,-1,0,no
blue-collar,19,may,364,1,-1,0,no
technician,19,may,229,3,-1,0,no
management,29,aug,43,13,-1,0,no
blue-collar,15,jun,177,1,-1,0,yes
management,7,aug,262,1,99,2,yes
management,6,may,317,1,169,2,no
technician,20,jun,402,22,-1,0,no
blue-collar,1,jun,314,1,-1,0,yes
technician,11,feb,109,3,-1,0,yes
management,25,aug,56,6,-1,0,no
services,12,may,169,2,-1,0,no
blue-collar,18,may,127,1,-1,0,no
management,20,aug,175,3,-1,0,no
technician,12,aug,56,2,-1,0,no
management,8,jul,123,1,-1,0,no
admin.,28,jan,148,2,-1,0,no
management,5,feb,231,1,-1,0,no
retired,23,jul,255,1,-1,0,no
management,27,aug,37,3,-1,0,no
unemployed,5,aug,106,1,110,2,no
management,19,may,95,1,-1,0,no
technician,2,jul,134,2,-1,0,no
technician,9,apr,820,2,-1,0,no
technician,24,feb,116,1,273,3,no
blue-collar,12,may,463,1,-1,0,no
admin.,12,aug,603,3,-1,0,no
blue-collar,27,may,47,5,-1,0,no
management,19,nov,126,1,-1,0,no
management,29,jun,421,2,-1,0,yes
self-employed,26,jun,174,8,-1,0,no
blue-collar,30,jan,144,1,266,2,no
management,8,aug,191,2,-1,0,no
blue-collar,21,apr,222,1,-1,0,no
self-employed,11,aug,206,1,461,1,yes
admin.,9,jul,74,1,-1,0,no
services,28,may,24,1,-1,0,no
technician,6,may,7,11,351,1,no
blue-collar,15,may,493,7,-1,0,no
blue-collar,3,mar,350,3,-1,0,yes
services,6,jun,250,3,-1,0,no
self-employed,28,aug,86,4,-1,0,no
entrepreneur,20,nov,371,1,-1,0,no
blue-collar,9,jun,419,2,-1,0,no
management,8,may,2087,2,-1,0,yes
blue-collar,15,may,22,4,-1,0,no
blue-collar,5,may,266,1,-1,0,no
technician,21,jul,191,1,-1,0,no
self-employed,19,feb,222,4,94,2,yes
blue-collar,17,jul,264,3,-1,0,no
management,9,jun,184,5,-1,0,no
blue-collar,28,may,95,3,-1,0,no
management,13,aug,127,2,-1,0,no
retired,31,jul,395,4,-1,0,no
management,8,apr,174,1,-1,0,no
admin.,27,apr,124,1,-1,0,yes
blue-collar,26,may,102,2,-1,0,no
admin.,17,apr,279,1,-1,0,no
housemaid,27,aug,76,11,-1,0,no
blue-collar,11,may,472,2,-1,0,no
management,18,aug,84,11,-1,0,no
management,20,nov,271,1,184,1,no
services,26,may,754,1,-1,0,no
student,11,may,172,5,371,5,no
technician,8,apr,375,2,-1,0,no
technician,12,aug,130,2,-1,0,no
admin.,12,may,303,3,-1,0,no
entrepreneur,16,may,261,1,-1,0,no
blue-collar,17,apr,229,3,-1,0,no
management,1,jun,288,1,-1,0,no
management,18,nov,219,3,-1,0,no
technician,30,may,891,4,-1,0,yes
management,26,may,204,1,-1,0,no
management,20,jun,19,6,-1,0,no
student,25,aug,158,2,-1,0,no
entrepreneur,8,may,314,1,-1,0,no
blue-collar,19,may,215,1,-1,0,no
management,25,aug,169,4,-1,0,no
admin.,31,jul,101,4,-1,0,no
retired,20,may,15,13,-1,0,no
blue-collar,21,may,260,5,-1,0,no
blue-collar,14,may,558,1,-1,0,yes
retired,17,jun,287,4,-1,0,no
retired,22,apr,371,2,-1,0,yes
technician,11,aug,149,1,78,5,yes
admin.,21,oct,187,1,-1,0,yes
blue-collar,21,may,32,1,-1,0,no
admin.,5,may,138,1,-1,0,no
blue-collar,17,jun,228,2,-1,0,no
retired,3,jul,353,2,-1,0,yes
admin.,8,may,45,2,-1,0,no
housemaid,9,jul,76,2,-1,0,no
admin.,6,may,144,2,-1,0,no
technician,19,aug,168,2,-1,0,no
management,30,jan,140,1,2,3,no
retired,17,jun,94,1,-1,0,no
management,17,jun,118,3,-1,0,no
technician,18,may,382,1,-1,0,no
admin.,19,nov,111,1,-1,0,no
admin.,15,may,298,2,-1,0,no
technician,30,may,121,1,-1,0,no
management,15,may,317,7,-1,0,no
management,5,may,42,1,-1,0,no
management,5,aug,81,2,-1,0,no
blue-collar,3,apr,296,1,270,3,yes
admin.,25,jul,259,2,-1,0,no
admin.,6,aug,121,6,112,3,no
blue-collar,15,may,432,3,-1,0,no
unemployed,8,aug,126,2,-1,0,no
management,16,jul,120,4,-1,0,no
retired,29,jan,136,1,-1,0,no
blue-collar,17,apr,1130,3,-1,0,no
services,17,dec,330,2,127,3,yes
services,23,jul,305,2,-1,0,no
blue-collar,20,jun,332,3,-1,0,no
blue-collar,9,may,412,1,-1,0,no
admin.,11,may,157,1,-1,0,no
blue-collar,30,jul,71,2,-1,0,no
services,8,may,297,2,-1,0,no
management,18,nov,307,1,-1,0,no
entrepreneur,4,aug,250,2,187,2,yes
management,30,apr,119,1,-1,0,no
management,7,aug,116,2,-1,0,no
retired,7,jul,274,1,-1,0,no
management,5,aug,389,1,64,2,yes
services,4,aug,143,1,-1,0,no
technician,28,may,860,2,-1,0,no
blue-collar,21,may,420,2,-1,0,no
services,28,may,213,1,-1,0,no
unemployed,18,nov,756,1,-1,0,no
technician,7,aug,259,3,-1,0,no
management,23,jul,201,16,-1,0,no
admin.,13,may,19,9,-1,0,no
technician,18,nov,53,1,172,3,no
blue-collar,14,may,224,4,-1,0,yes
blue-collar,13,may,57,5,349,1,no
housemaid,30,may,251,1,-1,0,no
management,16,apr,39,1,342,3,no
technician,18,jun,54,3,-1,0,no
unemployed,23,may,28,18,-1,0,no
unknown,12,nov,104,1,99,2,yes
admin.,27,mar,164,2,130,2,yes
technician,7,aug,268,2,-1,0,no
admin.,17,nov,148,1,-1,0,no
blue-collar,7,may,228,3,-1,0,no
admin.,18,aug,139,5,-1,0,no
housemaid,18,aug,89,3,-1,0,no
housemaid,15,jul,250,2,182,1,no
services,23,may,106,6,-1,0,no
blue-collar,18,jul,968,1,-1,0,yes
self-employed,6,aug,168,3,-1,0,no
self-employed,24,jul,408,14,-1,0,no
management,23,oct,56,4,-1,0,no
services,28,jul,55,5,-1,0,no
blue-collar,29,may,76,4,-1,0,no
blue-collar,11,aug,72,5,-1,0,no
technician,13,aug,99,3,-1,0,no
management,27,aug,13,15,-1,0,no
technician,14,apr,178,1,-1,0,no
technician,9,jun,287,1,-1,0,no
technician,14,may,141,1,346,2,no
management,21,nov,127,1,100,2,no
technician,4,aug,69,2,-1,0,no
housemaid,4,jun,763,4,-1,0,no
management,17,feb,122,1,92,1,no
management,18,may,143,1,-1,0,no
management,2,feb,316,3,-1,0,no
blue-collar,30,jul,89,2,-1,0,no
blue-collar,15,may,151,1,352,1,no
management,19,nov,40,1,-1,0,no
blue-collar,4,oct,5,1,808,12,no
blue-collar,18,jul,90,1,-1,0,no
management,21,nov,50,1,113,5,no
technician,15,apr,159,2,378,3,yes
blue-collar,10,jul,369,6,-1,0,no
technician,22,oct,344,2,182,8,yes
technician,4,sep,256,2,94,1,no
technician,26,oct,298,1,-1,0,no
technician,11,aug,268,3,-1,0,no
admin.,13,apr,231,1,-1,0,no
management,27,may,4,4,-1,0,no
technician,12,may,78,5,292,3,no
retired,5,jun,419,1,-1,0,no
management,13,may,421,3,-1,0,no
entrepreneur,10,jul,105,1,-1,0,no
entrepreneur,6,jun,42,1,-1,0,no
technician,26,may,114,7,287,3,no
technician,26,aug,286,2,-1,0,no
technician,1,oct,238,1,107,2,yes
blue-collar,11,jun,91,1,-1,0,no
retired,13,aug,766,3,-1,0,no
management,28,jan,92,1,-1,0,no
technician,4,aug,211,3,-1,0,no
management,7,may,160,2,360,3,no
management,3,feb,166,3,-1,0,no
admin.,21,nov,195,1,-1,0,no
management,16,jul,106,1,-1,0,no
services,23,jul,85,3,-1,0,no
blue-collar,24,jul,78,1,-1,0,no
retired,28,may,648,1,-1,0,yes
services,18,nov,177,2,174,1,no
blue-collar,27,may,32,1,-1,0,no
technician,29,aug,24,12,-1,0,no
entrepreneur,7,may,688,2,-1,0,no
management,27,may,21,5,-1,0,no
technician,27,may,112,1,-1,0,no
management,3,jun,593,1,-1,0,yes
housemaid,7,aug,59,2,-1,0,no
management,29,jan,121,3,-1,0,no
self-employed,28,jul,97,2,-1,0,no
management,11,aug,86,2,-1,0,no
blue-collar,14,may,10,10,-1,0,no
management,23,jun,205,3,-1,0,no
retired,9,jun,77,2,-1,0,no
technician,18,nov,138,2,-1,0,no
admin.,3,nov,289,1,-1,0,yes
admin.,4,aug,86,4,-1,0,no
management,22,aug,9,3,-1,0,no
admin.,14,may,225,1,364,1,no
technician,22,jul,407,4,-1,0,no
blue-collar,3,jun,1030,6,-1,0,no
blue-collar,13,aug,123,2,-1,0,no
management,22,oct,119,4,-1,0,no
management,18,may,175,1,293,5,no
blue-collar,9,jun,299,5,-1,0,no
unemployed,5,feb,563,1,-1,0,no
services,9,may,241,1,-1,0,no
unemployed,4,may,52,4,91,1,no
self-employed,2,jun,76,3,-1,0,no
blue-collar,19,nov,441,1,-1,0,no
technician,22,apr,319,1,182,1,yes
blue-collar,18,sep,13,1,373,6,no
management,16,may,803,1,-1,0,yes
admin.,12,may,396,2,-1,0,no
management,18,jun,188,1,-1,0,no
admin.,20,apr,637,1,-1,0,no
blue-collar,5,jun,175,7,-1,0,no
technician,6,apr,945,1,139,1,no
management,23,may,162,3,-1,0,no
housemaid,12,jun,1178,3,-1,0,no
management,8,may,506,2,170,3,no
self-employed,12,jan,409,2,-1,0,yes
blue-collar,14,jul,116,3,-1,0,no
management,30,apr,244,1,-1,0,yes
technician,4,may,352,4,-1,0,yes
services,12,may,152,1,182,6,yes
management,21,may,164,2,-1,0,no
self-employed,28,may,234,3,-1,0,no
technician,27,aug,154,4,-1,0,no
admin.,7,may,566,2,-1,0,no
technician,27,oct,327,2,183,3,no
technician,7,may,265,3,-1,0,no
blue-collar,9,jun,172,1,-1,0,no
technician,22,jul,257,2,-1,0,no
retired,13,may,618,1,-1,0,yes
blue-collar,28,jan,241,3,-1,0,no
entrepreneur,21,jul,936,4,-1,0,no
blue-collar,7,apr,329,1,322,1,no
management,14,may,24,1,346,1,no
self-employed,22,jun,177,5,138,1,no
blue-collar,13,oct,120,1,-1,0,no
management,22,apr,135,3,-1,0,no
technician,9,jul,175,1,-1,0,no
management,25,may,179,1,-1,0,no
self-employed,30,may,58,1,-1,0,no
technician,17,apr,342,2,-1,0,no
services,13,may,139,2,-1,0,no
retired,18,jun,88,8,-1,0,no
entrepreneur,28,aug,210,3,-1,0,no
blue-collar,2,feb,731,1,193,3,no
management,2,feb,670,3,-1,0,yes
entrepreneur,12,may,63,5,-1,0,no
management,8,jul,70,2,-1,0,no
retired,4,feb,72,6,274,4,no
admin.,15,may,241,1,364,1,no
admin.,5,may,272,4,-1,0,no
management,28,aug,207,8,98,1,yes
self-employed,15,may,64,6,-1,0,no
services,12,jun,543,2,-1,0,no
technician,30,apr,166,1,-1,0,no
management,26,may,245,3,97,7,no
blue-collar,9,may,94,1,-1,0,no
unknown,20,jun,34,8,-1,0,no
blue-collar,30,jul,203,2,-1,0,no
admin.,24,jul,318,1,-1,0,no
self-employed,13,apr,158,4,-1,0,no
admin.,21,jul,177,1,-1,0,no
management,17,nov,56,1,103,2,no
services,4,jun,172,2,-1,0,no
blue-collar,7,may,136,1,359,1,no
admin.,18,may,82,3,363,2,no
blue-collar,16,may,123,1,-1,0,no
admin.,20,nov,110,1,-1,0,no
blue-collar,30,may,385,5,-1,0,no
retired,18,dec,415,7,-1,0,yes
services,2,feb,73,1,-1,0,no
technician,16,jun,243,2,-1,0,no
blue-collar,9,may,137,2,-1,0,no
management,23,may,55,4,-1,0,no
services,20,apr,18,5,-1,0,no
admin.,16,jul,255,2,-1,0,no
admin.,11,may,95,1,-1,0,no
blue-collar,10,jul,112,1,-1,0,no
blue-collar,5,may,205,2,-1,0,no
services,18,may,97,1,370,1,no
student,2,sep,154,1,-1,0,no
blue-collar,13,may,135,2,370,2,no
retired,14,aug,230,1,-1,0,no
entrepreneur,17,nov,349,1,-1,0,no
admin.,8,may,38,1,-1,0,no
management,22,jul,268,1,-1,0,no
management,11,may,94,4,-1,0,no
services,28,jul,263,2,-1,0,no
blue-collar,18,aug,671,4,-1,0,yes
management,2,jun,197,1,-1,0,no
admin.,28,jan,180,2,-1,0,no
entrepreneur,20,nov,452,2,-1,0,no
entrepreneur,15,may,352,1,-1,0,no
unemployed,15,jul,175,4,-1,0,no
technician,19,nov,163,2,-1,0,no
services,29,may,200,2,-1,0,no
blue-collar,16,jun,75,7,-1,0,no
blue-collar,16,apr,227,1,-1,0,no
services,3,feb,586,3,-1,0,no
services,10,jul,119,5,-1,0,no
blue-collar,22,jul,80,2,-1,0,no
blue-collar,12,may,112,2,330,3,no
technician,19,may,130,2,-1,0,no
unemployed,3,feb,237,3,-1,0,no
unemployed,26,aug,377,8,-1,0,no
unknown,7,oct,335,1,-1,0,yes
unemployed,29,jul,121,3,-1,0,no
admin.,15,jul,127,5,-1,0,no
technician,1,jul,650,2,-1,0,yes
admin.,16,may,107,1,-1,0,no
blue-collar,20,may,610,2,-1,0,no
technician,25,aug,124,4,-1,0,no
services,8,may,216,1,-1,0,no
blue-collar,31,jul,747,4,-1,0,no
blue-collar,11,may,313,1,349,3,no
management,23,apr,252,9,185,5,yes
admin.,13,feb,121,1,-1,0,yes
blue-collar,7,may,799,1,-1,0,no
management,23,jun,883,1,674,4,no
technician,16,may,197,1,-1,0,no
entrepreneur,11,jul,271,2,-1,0,no
blue-collar,12,may,221,2,-1,0,no
admin.,14,jul,243,3,-1,0,no
blue-collar,15,may,72,1,-1,0,no
services,2,aug,155,2,-1,0,no
management,28,jan,70,2,-1,0,no
management,11,feb,280,4,-1,0,yes
blue-collar,26,may,115,2,-1,0,no
admin.,20,jun,29,2,-1,0,no
blue-collar,14,may,406,2,-1,0,no
technician,25,aug,113,3,-1,0,no
technician,30,jul,47,2,-1,0,no
management,5,jun,36,2,-1,0,no
entrepreneur,6,may,135,2,-1,0,no
management,3,jul,67,2,-1,0,no
entrepreneur,16,jun,684,1,-1,0,no
management,21,aug,686,5,-1,0,yes
student,2,mar,170,3,-1,0,no
blue-collar,17,jun,150,3,-1,0,no
retired,14,may,1060,2,-1,0,yes
management,6,jun,122,16,-1,0,no
blue-collar,26,may,724,1,-1,0,no
management,19,oct,230,1,92,1,yes
entrepreneur,20,jun,187,2,-1,0,no
blue-collar,19,may,179,4,-1,0,no
services,4,aug,357,3,-1,0,no
blue-collar,5,jun,82,1,-1,0,no
technician,26,aug,176,15,-1,0,no
management,7,apr,424,1,138,1,no
student,18,jun,115,1,-1,0,no
services,3,feb,177,2,211,3,no
retired,9,jun,712,1,64,12,yes
management,6,may,118,1,-1,0,no
services,2,jun,25,7,-1,0,no
blue-collar,12,jun,753,1,-1,0,no
management,17,jul,124,1,-1,0,no
self-employed,30,jan,208,2,-1,0,no
technician,13,aug,136,4,-1,0,no
management,19,nov,1081,2,-1,0,yes
management,7,may,376,2,339,7,no
services,4,jun,78,1,-1,0,no
blue-collar,18,nov,354,1,-1,0,no
blue-collar,6,may,29,1,356,2,no
entrepreneur,19,nov,209,1,191,4,no
management,14,may,433,1,-1,0,no
services,29,may,147,2,-1,0,no
blue-collar,11,may,41,2,300,5,no
management,26,may,111,1,-1,0,no
admin.,14,apr,108,2,-1,0,no
blue-collar,7,may,411,2,-1,0,no
self-employed,10,jul,108,2,-1,0,no
admin.,3,jun,224,2,-1,0,yes
technician,12,may,1083,2,-1,0,no
management,12,may,757,2,-1,0,yes
blue-collar,17,jun,57,1,-1,0,no
blue-collar,30,jul,95,5,-1,0,no
management,15,mar,144,2,124,1,no
services,16,jul,135,1,-1,0,no
technician,15,jan,176,2,-1,0,no
technician,7,aug,524,5,-1,0,no
services,13,may,65,1,-1,0,no
admin.,6,may,653,1,334,2,yes
technician,11,sep,91,1,100,2,yes
management,10,mar,93,1,-1,0,yes
management,6,may,503,2,280,2,no
admin.,13,apr,186,1,327,2,no
self-employed,23,may,121,2,-1,0,no
management,19,aug,452,2,-1,0,no
retired,22,jun,883,1,140,1,yes
services,15,may,104,2,-1,0,no
management,29,jan,24,3,-1,0,no
student,19,jun,79,9,-1,0,no
technician,4,jul,178,2,-1,0,no
blue-collar,15,may,74,2,-1,0,no
admin.,10,mar,217,1,184,7,no
management,2,feb,475,1,-1,0,no
admin.,7,may,127,1,-1,0,no
technician,11,mar,101,1,-1,0,no
housemaid,14,jul,340,3,-1,0,no
technician,23,jul,158,4,-1,0,no
admin.,29,jan,242,1,-1,0,no
services,16,may,323,1,-1,0,no
self-employed,16,jun,18,30,-1,0,no
management,14,jul,68,3,-1,0,no
blue-collar,9,jul,134,4,-1,0,no
management,14,may,113,3,-1,0,no
technician,18,aug,43,4,-1,0,no
self-employed,17,jun,200,2,-1,0,no
retired,2,aug,245,2,-1,0,no
technician,16,may,343,4,-1,0,no
technician,3,mar,229,1,-1,0,no
technician,23,may,530,1,-1,0,no
blue-collar,13,aug,58,5,-1,0,no
self-employed,30,apr,78,2,176,1,no
technician,5,jun,147,1,-1,0,no
management,25,jul,40,1,-1,0,no
blue-collar,18,nov,618,2,-1,0,no
blue-collar,20,apr,23,4,-1,0,no
admin.,20,aug,293,1,90,4,yes
blue-collar,13,may,16,6,176,5,no
services,23,jul,286,2,-1,0,no
admin.,6,may,209,1,321,1,no
management,21,may,935,1,-1,0,no
blue-collar,27,may,260,1,-1,0,no
admin.,16,jun,298,4,-1,0,no
services,15,apr,397,2,337,1,no
management,17,sep,113,4,479,1,no
services,17,nov,76,1,-1,0,no
management,1,jun,141,1,-1,0,no
blue-collar,23,may,773,2,-1,0,no
services,5,jun,329,1,95,1,no
blue-collar,7,may,423,1,-1,0,no
retired,5,aug,67,4,-1,0,no
technician,2,jun,626,1,-1,0,no
technician,18,nov,578,2,-1,0,yes
blue-collar,9,may,61,1,-1,0,no
blue-collar,23,may,248,4,-1,0,no
technician,29,jan,136,1,262,3,no
technician,21,aug,126,3,-1,0,no
technician,28,jan,653,3,-1,0,no
management,14,may,7,7,-1,0,no
management,9,apr,528,1,-1,0,no
blue-collar,13,may,785,1,-1,0,no
management,9,jul,243,5,-1,0,no
blue-collar,13,may,24,2,362,1,no
admin.,19,jun,82,1,-1,0,no
unemployed,11,jun,952,3,-1,0,no
blue-collar,13,may,27,5,-1,0,no
blue-collar,5,may,143,1,-1,0,no
technician,12,may,274,6,-1,0,no
blue-collar,16,apr,1174,1,345,4,yes
admin.,20,nov,915,1,-1,0,no
blue-collar,5,feb,115,1,-1,0,no
blue-collar,26,may,222,2,-1,0,no
retired,15,mar,341,1,-1,0,no
blue-collar,21,may,112,2,-1,0,no
blue-collar,6,may,64,2,-1,0,no
services,13,may,937,3,-1,0,yes
management,10,jul,129,1,-1,0,no
technician,11,may,59,1,-1,0,no
admin.,29,jan,79,1,225,2,no
retired,9,jul,151,5,-1,0,no
admin.,19,may,83,1,-1,0,no
student,6,aug,101,5,3,6,no
management,5,aug,157,3,97,2,yes
entrepreneur,15,may,57,11,366,1,no
self-employed,13,may,176,3,-1,0,no
services,11,may,222,3,-1,0,no
blue-collar,2,jun,217,4,-1,0,no
blue-collar,26,may,252,1,-1,0,no
retired,27,may,1063,5,-1,0,yes
unknown,29,aug,41,2,-1,0,no
blue-collar,20,jun,27,25,-1,0,no
admin.,17,apr,758,2,-1,0,no
retired,29,jul,301,3,-1,0,yes
entrepreneur,16,jul,574,1,-1,0,no
